ip,ifName,ifDescr,ifOperStatus,pethPsePortDetectionStatus,Remote Device,Remote Port,Remote Type,lldpRemotes
10.17.1.16,port25,TXK-CAM-33,up,deliveringPower,,,,
10.17.1.16,port26,TXK-CAM-18,up,deliveringPower,,,,
10.17.1.16,port28,port28(primary),down,searching,,,,
10.17.1.16,port29,port29(primary),down,searching,,,,
10.17.1.16,port30,port30(primary),down,searching,,,,
10.17.1.16,port32,port32(primary),down,searching,,,,
10.17.1.16,port34,port34(primary),up,searching,,,,
10.17.1.16,port35,port35(primary),up,searching,,,,
10.17.1.16,port37,TXK-CAM-02,up,deliveringPower,,,,
10.17.1.16,port38,port38(primary),down,searching,,,,
10.17.1.16,port39,TXK-CAM-20,up,deliveringPower,,,,
10.17.1.16,port40,TXK-CAM-16,up,deliveringPower,,,,
10.17.1.16,port41,port41(primary),down,searching,,,,
10.17.1.16,port44,port44(primary),down,searching,,,,
10.17.1.16,port45,port45(primary),down,searching,,,,
10.17.1.16,port46,port46(primary),up,searching,,,,
10.17.1.16,port49,port49(primary),down,disabled,,,,
10.17.1.16,port50,port50(primary),down,disabled,,,,
10.17.1.16,port51,port51(primary),down,disabled,,,,
10.17.1.16,port52,port52(primary),down,disabled,,,,
10.17.1.16,internal,internal(primary),up,disabled,,,,
10.17.1.16,internal,internal,up,,,,,
10.17.1.16,mgmt,mgmt,down,,,,,
